"Código","Nome","Volume","Última (R$)","Variação"
"INEP3","Inepar","50.700","4,18","-2,79%"
"TPIS3","Triunfo","49.700","4,00","-1,23%"
"LOGN3","Log-In","49.400","45,97","-3,99%"
"CSUD3","CSU Cardsystem","47.700","18,35","-2,45%"
"DOTZ3","Dotz","45.100","1,01","+0,00%"
"BOBR4","Bombril","45.000","1,97","-2,48%"
"PMAM3","Paranapanema","44.200","4,26","+1,43%"
"WEST3","Westwing","41.100","1,35","+0,00%"
"APER3","Alper","40.800","42,75","+0,02%"
"AGXY3","AgroGalaxy","40.200","3,99","-1,72%"
"IGTI3","Iguatemi","36.300","2,85","-1,72%"
"IGTI3","Jereissati Participações","36.300","2,85","-1,72%"
"GGBR3","Gerdau","35.200","20,70","-0,96%"
"TASA3","Taurus","22.000","14,27","-0,56%"
"FHER3","Fertilizantes Heringer","21.100","7,98","+7,84%"
"OIBR4","Oi","20.400","1,67","-0,60%"
"CEBR6","CEB","18.300","16,99","+1,68%"
"CEDO4","Cedro Têxtil","17.600","25,00","+2,04%"
"RDNI3","RNI","17.600","4,45","-1,55%"
"EUCA4","Eucatex","17.300","16,14","+0,31%"
"ESTR4","Estrela","15.400","4,00","-11,11%"
"CEBR5","CEB","15.200","15,20","+0,00%"
"INEP4","Inepar","14.600","3,04","-1,30%"
"MTSA4","METISA","14.500","45,00","+2,74%"
"COCE5","Coelce","13.800","43,47","-2,03%"
"WHRL3","Whirlpool","13.800","4,55","+7,06%"
"ALUP3","Alupar","13.600","9,73","-0,51%"
"ALUP4","Alupar","13.400","9,95","+1,53%"
"ATOM3","ATOM","12.200","2,09","+0,00%"
"BRSR3","Banrisul","11.500","12,89","+1,34%"
"BMEB4","Banco Mercantil do Brasil","10.600","15,10","+0,60%"
"ATMP3","Atma","10.600","3,25","+0,00%"
"BEES3","Banestes","10.500","8,75","+0,00%"
"BIOM3","Biomm","9.400","5,90","-2,48%"
"CEBR3","CEB","9.000","15,40","-0,06%"
"EALT4","Electro Aço Altona","9.000","8,83","+0,46%"
"MNPR3","Minupar","8.900","19,20","+0,05%"
"REDE3","Rede Energia","8.900","6,43","-1,38%"
"LVTC3","WDC Networks","8.800","4,25","-0,47%"
"SNSY5","Sansuy","8.300","3,86","+0,78%"
"PTNT4","Pettenati","8.100","8,19","-0,73%"
"EMAE4","EMAE","8.000","58,70","-0,29%"
"BAHI3","Bahema","8.000","7,46","-5,57%"
"OSXB3","OSX Brasil","8.000","4,07","-1,45%"
"HAGA4","Haga","7.400","1,17","-0,85%"
"MWET4","Wetzel","5.100","6,35","-4,51%"
"VSTE3","LE LIS BLANC","5.000","13,82","-3,36%"
"NUTR3","Nutriplant","5.000","4,25","+4,68%"
"BEES4","Banestes","4.800","9,35","+0,65%"
"EQPA7","Equatorial Energia Pará","4.700","8,99","+0,00%"
"CLSC4","Celesc","4.600","61,62","-0,50%"
"EPAR3","EPAR3","4.600","10,25","-2,84%"
"BPAC3","Banco BTG Pactual","4.300","17,32","-0,12%"
"RAPT3","Randon","4.200","10,09","-0,20%"
"AFLT3","Afluente T","4.200","8,55","+12,50%"
"UNIP3","Unipar","3.800","67,26","-0,78%"
"OFSA3","Ourofino Saúde Animal","3.800","22,00","-0,50%"
"BPAC5","Banco BTG Pactual","3.700","8,83","+0,34%"
"ENGI4","Energisa","3.700","8,69","-1,03%"
"BALM4","Baumer","3.500","10,75","+8,59%"
"HOOT4","Hotéis Othon","3.500","2,86","-1,38%"
"MGEL4","Mangels","3.200","13,60","-1,23%"
"SCAR3","São Carlos","2.900","24,54","-1,01%"
"DOHL4","Döhler","2.800","5,45","-1,09%"
"PTNT3","Pettenati","2.700","10,60","-3,64%"
"RPMG3","Refinaria de Manguinhos","2.600","2,18","+3,81%"
"TRPL3","Transmissão Paulista","2.400","32,26","+0,75%"
"CRPG5","Tronox Pigmentos","2.300","36,89","-0,32%"
"CRPG6","Tronox Pigmentos","2.100","36,98","-0,83%"
"EQPA3","Equatorial Energia Pará","2.100","7,54","+0,67%"
"CRIV3","Alfa Financeira","2.100","5,90","+5,36%"
"BMIN4","Banco Mercantil de Investimentos","2.000","15,00","+0,00%"
"FRTA3","Pomi Frutas","2.000","2,12","+0,95%"
"SNSY3","Sansuy","1.900","5,60","-0,53%"
"CGRA4","Grazziotin","1.600","26,87","+0,15%"
"TEKA4","Teka","1.600","16,09","-6,34%"
"EUCA3","Eucatex","1.500","16,05","-1,05%"
"BAZA3","Banco da Amazônia","1.400","81,86","+0,61%"
"CGRA3","Grazziotin","1.300","25,06","+0,44%"
"ENGI3","Energisa","1.100","17,76","-1,17%"
"HAGA3","Haga","1.100","2,61","-1,14%"
"GEPA4","Rio Paranapanema Energia","1.000","26,00","-0,27%"
"BGIP4","Banese","1.000","21,82","+0,74%"
"HETA4","Hercules","800","6,58","+5,62%"
"TELB3","Telebras","700","16,25","+0,62%"
"ALPA3","Alpargatas","700","9,25","-6,09%"
"CGAS5","Comgás","600","130,50","+0,55%"
"BRIV4","Alfa Investimento","600","10,55","+0,48%"
"AVLL3","Alphaville","600","5,00","+0,00%"
"PATI3","Panatlântica","500","29,00","+0,00%"
"DEXP4","Dexxos","500","10,70","+0,00%"
"UNIP5","Unipar","400","78,00","+0,00%"
"CPLE5","Copel","400","24,86","+0,00%"
"CTNM3","Coteminas","400","8,00","+3,90%"
"RPAD3","Alfa Holdings","400","8,00","+1,91%"
"NEXP3","Brasil Brokers","400","5,30","+0,00%"
"BRIV3","Alfa Investimento","300","10,87","+1,97%"
"CRIV4","Alfa Financeira","300","5,74","+2,68%"
"FRIO3","Metalfrio","200","100,00","-0,50%"
"RSUL4","Metalúrgica Riosulense","200","76,30","+1,06%"
"CEDO3","Cedro Têxtil","200","23,00","+1,01%"
"JOPA3","Josapar","200","21,04","-8,52%"
"BSLI3","Banco de Brasília","200","13,52","+0,00%"
"TELB4","Telebras","200","12,17","-0,08%"
"BSLI4","Banco de Brasília","200","11,70","-2,99%"
"BALM3","Baumer","200","11,50","+0,00%"
"BRGE6","Consórcio Alfa","200","11,39","-0,09%"
"EALT3","Electro Aço Altona","200","9,60","+5,49%"
"RPAD5","Alfa Holdings","200","7,75","+3,20%"
"NORD3","Nordon","200","3,75","-1,32%"
"BNBR3","Banco do Nordeste","100","99,50","+1,02%"
"BAUH4","Excelsior","100","75,00","+0,13%"
"CLSC3","Celesc","100","58,99","+0,00%"
"MNDL3","Mundial","100","44,81","-6,65%"
"CEEB3","COELBA","100","39,99","+0,00%"
"CRPG3","Tronox Pigmentos","100","39,95","+0,00%"
"EKTR4","Elektro","100","37,50","-1,29%"
"EQMA3B","Equatorial Maranhão","100","28,49","+0,85%"
"BRSR5","Banrisul","100","18,40","+2,22%"
"BRKM6","Braskem","100","14,85","-0,34%"
"BRGE3","Consórcio Alfa","100","11,40","+2,80%"
"BRGE12","Consórcio Alfa","100","10,81","+2,95%"
"IGTI4","Iguatemi","100","10,24","+0,00%"
"IGTI4","Jereissati Participações","100","10,24","+0,00%"
"RPAD6","Alfa Holdings","100","7,59","+2,85%"
"BMKS3","Monark","62","335,00","+8,41%"
"MEGA3","OMEGA ENERGIA S.A.","2.220.100","9,62","+1,48%"
"CTKA4","Karsten","1.900","21,00","+10,53%"
"EQPA5","Equatorial Energia Pará","1.200","8,99","+15,26%"
"WLMM3","WLM","1.100","23,61","-9,19%"
"BDLL4","Bardella","900","8,50","+1,19%"
"CSRN3","COSERN","600","27,95","+2,76%"
"BMEB3","Banco Mercantil do Brasil","600","16,03","+0,38%"
"PLAS3","Plascar","600","6,81","-2,99%"
"ENMT3","Energisa MT","300","62,90","-1,70%"
"HBTS5","Habitasul","200","52,00","+0,00%"
"WLMM4","WLM","200","30,00","+0,33%"
"BGIP3","Banese","100","25,85","-0,35%"
"CALI3","Adolpho Lindenberg","100","16,60","+6,75%"
"DTCY3","Dtcom","100","4,76","+0,21%"
"FESA3","Ferbasa","1.000","64,00","+3,36%"
"LUXM4","Trevisa","400","15,99","+6,60%"
"BMIN3","Banco Mercantil de Investimentos","300","21,49","+7,45%"
"CSAB3","Cia. de Seg. Aliança da Bahia","100","35,00","+2,94%"
"CSAB4","Cia. de Seg. Aliança da Bahia","1.100","50,00","+11,11%"
"MERC4","Mercantil do Brasil Financeira","100","7,01","+0,14%"
"DMFN3","DMFN3","400","14,00","+11,11%"
"CEED3","CEEE D","200","21,73","-13,08%"
"CGAS3","Comgás","100","124,40","+1,91%"
"FIEI3","FIEI3","100","12,00","+0,00%"
"ENMT4","Energisa MT","400","66,00","+0,00%"
"CEED4","CEEE D","400","21,60","-10,00%"
"DOHL3","Döhler","200","6,65","-5,00%"
"CEEB5","COELBA","100","41,06","-1,20%"
"PEAB3","Participações Aliança da Bahia","200","34,85","+2,80%"
"MRSA3B","MRS Logística","200","24,25","-3,19%"
"MRSA5B","MRS Logística","300","23,56","+0,00%"
"MAPT4","Cemepe","300","7,20","-16,86%"
"CTKA3","Karsten","400","18,00","+0,00%"
"CSRN5","COSERN","100","28,00","+0,00%"
"GEPA3","Rio Paranapanema Energia","200","26,99","+3,09%"
"GSHP3","General Shopping & Outlets","200","16,19","+4,45%"
"AHEB3","São Paulo Turismo","100","16,00","+0,00%"
"MOAR3","Monteiro Aranha","200","388,00","+4,30%"
"BRGE5","Consórcio Alfa","700","10,82","-1,28%"
"CSRN6","COSERN","100","27,00","-3,57%"
"TKNO4","Tekno","100","60,01","+0,02%"
"BDLL3","Bardella","100","11,50","+15,00%"
